"Company","Industry","ROE","ROE_Rank"
"Caterpillar, Inc.","Farm & Heavy Construction Machinery","40.72","1"
"Deere & Company","Farm & Heavy Construction Machinery","38.02","2"
"Archer-Daniels-Midland Company","Farm Products","12.64","1"
"Moody's Corporation","Financial Data & Stock Exchanges","97.45","1"
"S&P Global Inc.","Financial Data & Stock Exchanges","73.43","2"
"Intercontinental Exchange Inc.","Financial Data & Stock Exchanges","15.03","3"
"Sysco Corporation","Food Distribution","57.83","1"
"Nike, Inc.","Footwear & Accessories","48.26","1"
"Newmont Corporation","Gold","7.25","1"
"Kroger Company (The)","Grocery Stores","10.45","1"
"UnitedHealth Group Incorporated","Healthcare Plans","21.99","1"
"Cigna Corporation","Healthcare Plans","17.63","2"
"Humana Inc.","Healthcare Plans","16.68","3"
"Home Depot, Inc. (The)","Home Improvement Retail","1240.31","1"
"Lowe's Companies, Inc.","Home Improvement Retail","657.83","2"
"Kimberly-Clark Corporation","Household & Personal Products","229.64","1"
"Colgate-Palmolive Company","Household & Personal Products","225.68","2"
"Estee Lauder Companies, Inc. (T","Household & Personal Products","53.24","3"
"Company","Industry","0","1"
"Accenture plc","Information Technology Services","31.95","1"
"International Business Machines","Information Technology Services","21.41","2"
"Cognizant Technology Solutions ","Information Technology Services","18.72","3"
"Aon plc","Insurance Brokers","32.71","1"
"Marsh & McLennan Companies, Inc","Insurance Brokers","30.99","2"
"Arthur J. Gallagher & Co.","Insurance Brokers","13.82","3"
"American International Group, I","Insurance—Diversified","8.91","1"
"AFLAC Incorporated","Insurance—Life","12.84","1"
"Prudential Financial, Inc.","Insurance—Life","11.81","2"
"MetLife, Inc.","Insurance—Life","7.73","3"
"Progressive Corporation (The)","Insurance—Property & Casualty","19","1"
"Allstate Corporation (The)","Insurance—Property & Casualty","18.64","2"
"Chubb Limited","Insurance—Property & Casualty","15.24","3"
"United Parcel Service, Inc.","Integrated Freight & Logistics","73.03","1"
"FedEx Corporation","Integrated Freight & Logistics","21.38","2"
"Alphabet Inc.","Internet Content & Information","32.07","1"
"Alphabet Inc.","Internet Content & Information","32.07","1"
"Meta Platforms, Inc.","Internet Content & Information","31.1","3"
"Amazon.com, Inc.","Internet Retail","28.81","1"
"eBay Inc.","Internet Retail","28.45","2"
"Marriott International","Lodging","81.43","1"
"Hilton Worldwide Holdings Inc.","Lodging","0","2"
"HCA Healthcare, Inc.","Medical Care Facilities","474.39","1"
"DexCom, Inc.","Medical Devices","29.12","1"
"Edwards Lifesciences Corporatio","Medical Devices","28.88","2"
"Align Technology, Inc.","Medical Devices","22.52","3"
"McKesson Corporation","Medical Distribution","1401.75","1"
"ResMed Inc.","Medical Instruments & Supplies","17.52","1"
"Intuitive Surgical, Inc.","Medical Instruments & Supplies","15.92","2"
"Baxter International Inc.","Medical Instruments & Supplies","14.06","3"
"ConocoPhillips","Oil & Gas E&P","21.47","1"
